microns transmission
1.3845671689999999 4.051526086391711e-06
1.386175261 4.717820176442053e-06
1.387783353 5.446282312576708e-06
1.389391445 6.2195084200397495e-06
1.390999537 7.676445464962963e-06
1.392607629 9.167849574933028e-06
1.3942157210000001 9.204338940972796e-06
1.395823813 9.007917717905899e-06
1.397431905 8.959053556725774e-06
1.399039997 8.823167466144608e-06
1.400648089 9.139013919659096e-06
1.402256181 9.537704705736662e-06
1.403864273 9.126570363964634e-06
1.405472365 8.714522717577456e-06
1.407080457 9.862391917965495e-06
1.408688549 9.86855199551207e-06
1.410296641 9.087766970499143e-06
1.411904732 9.037182806944604e-06
1.413512824 8.78299377983141e-06
1.415120916 8.167827016748693e-06
1.4167290080000001 7.339590147115627e-06
1.4183371 6.192437466299142e-06
1.419945192 5.1346417871023885e-06
1.421553284 4.91895418947141e-06
1.423161376 5.4006146711207005e-06
1.424769468 5.568306543028216e-06
1.42637756 5.9576200099189354e-06
1.427985652 7.2285800206020885e-06
1.429593744 8.099535536883074e-06
1.431201836 8.387750539714387e-06
1.432809928 7.97087795072753e-06
1.43441802 7.6007125098517106e-06
1.436026112 7.907654999458437e-06
1.4376342039999999 7.750015553560959e-06
1.439242296 7.039981593518096e-06
1.440850388 5.738601881476685e-06
1.44245848 4.849082877236866e-06
1.444066571 5.181742807366646e-06
1.445674663 5.897993237428013e-06
1.447282755 6.707560191988909e-06
1.448890847 6.563194068168104e-06
1.450498939 6.155402226876864e-06
1.452107031 5.877197525994838e-06
1.453715123 5.711750928778064e-06
1.455323215 6.09899278423424e-06
1.456931307 5.592599989288948e-06
1.458539399 4.510245746032672e-06
1.4601474909999999 3.4671993146409666e-06
1.461755583 3.596071784559383e-06
1.463363675 4.185867116045533e-06
1.464971767 4.141617766352641e-06
1.4665798589999999 3.78951049639502e-06
1.4681879510000002 3.3730522811278668e-06
1.469796043 4.177337952058065e-06
1.471404135 5.709899208102651e-06
1.473012227 6.4418137492331845e-06
1.474620319 5.21047192559947e-06
1.47622841 4.338370784972259e-06
1.4778365020000002 4.567308308930245e-06
1.479444594 5.046596172863547e-06
1.481052686 5.3034748453020115e-06
1.4826607779999998 4.928125932667023e-06
1.4842688700000002 3.9551194764863345e-06
1.485876962 3.5170195338805466e-06
1.487485054 4.0520567023567605e-06
1.4890931459999999 4.061970183257879e-06
1.4907012380000002 3.949917635886183e-06
1.49230933 4.0009408942247665e-06
1.493917422 3.6892797645532136e-06
1.495525514 3.1936770759672875e-06
1.497133606 2.616328489118592e-06
1.4987416980000001 1.8372223023590403e-06
1.50034979 1.3175960239212338e-06
1.501957882 1.2167461771819838e-06
1.503565974 1.4149941028216992e-06
1.5051740660000001 1.3540251615443315e-06
1.506782158 1.553401413786975e-06
1.508390249 2.0079560336923107e-06
1.509998341 2.0601215492968847e-06
1.5116064329999999 2.2866572714274626e-06
1.5132145250000002 2.2716779046002754e-06
1.514822617 2.173396799668924e-06
1.516430709 1.8662168815179716e-06
1.5180388009999999 1.5159221360088507e-06
1.519646893 1.1606884769646804e-06
1.5212549850000001 6.370966043956649e-07
1.522863077 5.961172208422693e-07
1.524471169 5.558705946018794e-07
1.526079261 7.113360739361785e-07
1.5276873530000001 1.0102581353290934e-06
1.529295445 1.028603675051582e-06
1.530903537 9.956341985888349e-07
1.532511629 1.090916185180222e-06
1.534119721 1.2477738175700853e-06
1.535727813 1.3528771646086713e-06
1.537335905 1.3101793031796592e-06
1.538943997 1.1544126550818795e-06
1.5405520879999999 8.67781792172697e-07
1.54216018 6.866936473360458e-07
1.543768272 5.918391263881573e-07
1.545376364 4.955237505181112e-07
1.546984456 4.149489344512942e-07
1.548592548 5.791081248396812e-07
1.5502006400000001 5.18465412373602e-07
1.551808732 6.678637809022546e-07
1.553416824 8.4478983310546e-07
1.555024916 1.1656250752731911e-06
1.556633008 1.65413257674949e-06
1.5582411 2.5557674006462917e-06
1.559849192 3.4724149436088537e-06
1.561457284 4.023220269449068e-06
1.563065376 4.8855826965328305e-06
1.564673468 5.909033977397709e-06
1.56628156 7.028603454171421e-06
1.567889652 7.999953838046903e-06
1.569497744 8.657019498819385e-06
1.5711058359999999 8.349184860970831e-06
1.5727139270000001 7.880460148530603e-06
1.574322019 7.617183016117571e-06
1.575930111 7.4810188392519155e-06
1.577538203 7.03769081088078e-06
1.579146295 6.431554887905214e-06
1.580754387 6.090048627744678e-06
1.582362479 6.090851957890346e-06
1.583970571 6.445067234079699e-06
1.585578663 6.6899055049375415e-06
1.5871867549999998 6.878538438709929e-06
1.588794847 7.042596232275682e-06
1.590402939 7.273069771280746e-06
1.592011031 7.54812006407741e-06
1.5936191229999999 7.436397963898489e-06
1.595227215 6.835739587434207e-06
1.596835307 6.039478843914584e-06
1.598443399 5.342830604602778e-06
1.6000514909999999 4.847229701802081e-06
1.6016595830000002 4.447932671495056e-06
1.6032676750000001 4.434491465937682e-06
1.604875767 4.696432281259569e-06
1.606483858 4.70697668201076e-06
1.60809195 4.493594719187883e-06
1.6097000419999998 4.6178936625139995e-06
1.6113081340000002 4.9540757617308516e-06
1.612916226 5.249202964712564e-06
1.614524318 5.339090895898161e-06
1.6161324099999999 5.378968123181997e-06
1.6177405020000002 4.950759665992297e-06
1.619348594 4.815163566330405e-06
1.620956686 4.931333313323169e-06
1.6225647779999999 5.1469001849020745e-06
1.6241728700000002 5.31284178037057e-06
1.625780962 5.776448403422394e-06
1.627389054 6.126744538085526e-06
1.628997146 5.783232076082539e-06
