microns transmission
0.4005 1.5575333574879836e-07
0.4015 9.999999939225291e-11
0.4025 9.999999939225291e-11
0.4035 9.999999939225291e-11
0.4045 9.999999939225291e-11
0.4055 9.999999939225291e-11
0.4065 4.672213202994158e-08
0.4075 9.999999939225291e-11
0.4085 4.0277617396592784e-07
0.4095 3.528212547128836e-07
0.4105 2.708671066405562e-07
0.4115 9.999999939225291e-11
0.4125 1.2340676622812907e-08
0.4135 3.424613239507342e-08
0.4145 9.999999939225291e-11
0.4155 2.886525554283518e-08
0.4165 2.9081513614137577e-07
0.4175 9.999999939225291e-11
0.4185 5.165621167850058e-08
0.4195 9.999999939225291e-11
0.4205 1.2191131656772807e-08
0.4215 8.136973163412146e-09
0.4225 2.5833039618561314e-08
0.4235 9.999999939225291e-11
0.4245 7.700626833084812e-08
0.4255 2.323884998508182e-08
0.4265 2.8273942951943337e-07
0.4275 1.2348167426049863e-07
0.4285 3.232028039571825e-08
0.4295 5.391500076020369e-09
0.4305 1.3164747034721814e-08
0.4315 1.674907721849195e-07
0.4325 5.072750122181446e-08
0.4335 1.4033943175858119e-07
0.4345 1.0338353068443477e-07
0.4355 1.2324799876968958e-08
0.4365 1.316752672586574e-07
0.4375 6.608573504133613e-08
0.4385 2.0837250402176246e-08
0.4395 1.7740677116980424e-08
0.4405 4.4383899974557536e-08
0.4415 9.999999939225291e-11
0.4425 9.999999939225291e-11
0.4435 2.88804361729215e-08
0.4445 1.1092343578766872e-07
0.4455 9.604739145352426e-08
0.4465 1.135444324251722e-07
0.4475 3.053138617185406e-08
0.4485 1.140088246150602e-07
0.4495 7.40717643754607e-08
0.4505 6.992456665836737e-08
0.4515 1.1680943351836485e-07
0.4525 1.1827532538551585e-08
0.4535 9.999999939225291e-11
0.4545 7.4287364236388e-08
0.4555 9.999999939225291e-11
0.4565 9.372317471149453e-08
0.4575 4.573650049503423e-08
0.4585 9.999999939225291e-11
0.4595 6.657989989259743e-08
0.4605 1.2803000304669372e-07
0.4615 5.5723231321043916e-08
0.4625 9.999999939225291e-11
0.4635 9.999999939225291e-11
0.4645 9.668463533193025e-08
0.4655 2.057125978656889e-07
0.4665 9.999999939225291e-11
0.4675 9.271504227766533e-08
0.4685 9.999999939225291e-11
0.4695 9.999999939225291e-11
0.4705 1.3734946489485366e-07
0.4715 9.999999939225291e-11
0.4725 9.999999939225291e-11
0.4735 9.999999939225291e-11
0.4745 9.999999939225291e-11
0.4755 9.999999939225291e-11
0.4765 7.2227851027525e-08
0.4775 9.999999939225291e-11
0.4785 3.7580533997309355e-08
0.4795 9.999999939225291e-11
0.4805 9.999999939225291e-11
0.4815 9.999999939225291e-11
0.4825 2.6460887333120318e-08
0.4835 4.234053216478628e-08
0.4845 9.999999939225291e-11
0.4855 8.060001351080833e-08
0.4865 2.690107253696302e-08
0.4875 1.9417912676307955e-08
0.4885 9.999999939225291e-11
0.4895 9.999999939225291e-11
0.4905 9.333850124804144e-08
0.4915 9.999999939225291e-11
0.4925 1.8178000065205423e-08
0.4935 2.9063207064676058e-08
0.4945 9.999999939225291e-11
0.4955 5.4212832359586586e-08
0.4965 9.999999939225291e-11
0.4975 6.878543240181519e-09
0.4985 9.999999939225291e-11
0.4995 2.8610333272875247e-08
0.5005 1.560491364216432e-07
0.5015 3.2709555775056743e-09
0.5025 7.156792849312883e-08
0.5035 5.484038749337117e-08
0.5045 1.29953506148676e-08
0.5055 9.999999939225291e-11
0.5065 9.999999939225291e-11
0.5075 9.999999939225291e-11
0.5085 1.733572005354252e-08
0.5095 5.7849635997087035e-08
0.5105 9.999999939225291e-11
0.5115 9.999999939225291e-11
0.5125 1.038999693392384e-08
0.5135 1.3821699667460053e-07
0.5145 2.535109347630756e-08
0.5155 9.999999939225291e-11
0.5165 9.999999939225291e-11
0.5175 9.999999939225291e-11
0.5185 9.999999939225291e-11
0.5195 1.0386897732435804e-07
0.5205 9.999999939225291e-11
0.5215 6.54049315447954e-09
0.5225 9.999999939225291e-11
0.5235 9.999999939225291e-11
0.5245 9.999999939225291e-11
0.5255 9.999999939225291e-11
0.5265 9.999999939225291e-11
0.5275 7.081983079970656e-08
0.5285 2.612666299898573e-08
0.5295 5.404593512873627e-08
0.5305 9.999999939225291e-11
