microns transmission
0.3963999938964844 8.901564702531081e-08
0.3973999938964844 9.999999939225291e-11
0.3983999938964844 9.999999939225291e-11
0.3993999938964844 6.992580665610149e-08
0.4003999938964844 9.999999939225291e-11
0.4013999938964844 4.00366001862551e-08
0.4023999938964844 3.955676593984474e-08
0.4033999938964844 1.2843415599187818e-08
0.4043999938964844 9.999999939225291e-11
0.4053999938964844 1.2714907825284173e-07
0.4063999938964844 5.373643408172295e-08
0.4073999938964844 9.999999939225291e-11
0.40839999389648435 9.999999939225291e-11
0.40939999389648435 9.999999939225291e-11
0.41039999389648435 9.999999939225291e-11
0.41139999389648435 9.999999939225291e-11
0.41239999389648435 9.999999939225291e-11
0.41339999389648435 8.124722929399772e-08
0.41439999389648435 4.447226647978179e-08
0.41539999389648435 9.999999939225291e-11
0.41639999389648436 9.999999939225291e-11
0.41739999389648436 9.331663361145104e-08
0.41839999389648436 8.940173488921251e-08
0.41939999389648436 1.657346001593396e-07
0.42039999389648436 1.3775860108644622e-07
0.42139999389648436 5.1960954200088356e-08
0.42239999389648436 6.355869794916202e-08
0.42339999389648436 4.664031656590832e-08
0.42439999389648436 5.091066400749374e-08
0.42539999389648436 8.20261493572616e-08
0.42639999389648436 9.999999939225291e-11
0.42739999389648436 2.1959823546543096e-07
0.42839999389648437 6.938151459875048e-08
0.42939999389648437 1.966135284211153e-10
0.43039999389648437 2.432611987993975e-07
0.43139999389648437 2.1425896494046504e-09
0.43239999389648437 9.999999939225291e-11
0.43339999389648437 5.6219262178913707e-08
0.43439999389648437 3.7470033070382176e-08
0.43539999389648437 1.4284776928737604e-07
0.4363999938964844 9.737358595884871e-08
0.4373999938964844 1.1567993472757128e-07
0.4383999938964844 1.5893266004004164e-08
0.4393999938964844 1.1568303405577277e-08
0.4403999938964844 1.7004087264164508e-07
0.4413999938964844 3.369253206505126e-08
0.4423999938964844 9.999999939225291e-11
0.4433999938964844 5.202410683284124e-08
0.4443999938964844 1.6243943147919993e-07
0.4453999938964844 1.6937189532958047e-07
0.4463999938964844 1.266085837414721e-07
0.4473999938964844 2.8282411926502012e-08
0.4483999938964844 5.937583975601513e-08
0.4493999938964844 3.2279829103032396e-08
0.4503999938964844 4.9941867571826985e-08
0.4513999938964844 4.495293442966878e-08
0.4523999938964844 7.036109041476853e-08
0.4533999938964844 2.240649610030232e-07
0.4543999938964844 2.5906896651643286e-08
0.4553999938964844 4.7011034185473475e-08
0.4563999938964844 1.5459013411600608e-07
0.4573999938964844 7.707265467615798e-08
0.4583999938964844 9.530354115364994e-08
0.4593999938964844 8.290836714941462e-08
0.4603999938964844 9.063556146493567e-08
0.4613999938964844 9.999999939225291e-11
0.4623999938964844 9.999999939225291e-11
0.4633999938964844 1.3955952984664085e-07
0.4643999938964844 1.5299100025067958e-07
0.4653999938964844 1.0745815643531386e-07
0.4663999938964844 8.437331492435382e-08
0.4673999938964844 8.257198411835512e-08
0.4683999938964844 1.5905787828766433e-07
0.4693999938964844 3.6044467075650266e-07
0.47039999389648435 9.999999939225291e-11
0.47139999389648435 3.631576681743335e-08
0.47239999389648435 2.037674979267952e-07
0.47339999389648435 3.594821727107937e-08
0.47439999389648435 9.999999939225291e-11
0.47539999389648435 2.1037853000412573e-09
0.47639999389648435 4.903055201251523e-08
0.47739999389648435 6.784959203957423e-08
0.47839999389648435 2.820990084491844e-09
0.47939999389648436 5.973849884692111e-08
0.48039999389648436 4.654130023003707e-08
0.48139999389648436 1.8754535415036836e-08
0.48239999389648436 9.999999939225291e-11
0.48339999389648436 6.911510149384034e-09
0.48439999389648436 6.31031893020643e-08
0.48539999389648436 3.371416591235743e-08
0.48639999389648436 9.999999939225291e-11
0.48739999389648436 9.999999939225291e-11
0.48839999389648436 9.999999939225291e-11
0.48939999389648436 9.999999939225291e-11
0.49039999389648437 7.590297814571063e-08
0.49139999389648437 9.999999939225291e-11
0.49239999389648437 9.999999939225291e-11
0.49339999389648437 9.999999939225291e-11
0.49439999389648437 3.1599529999463507e-07
0.49539999389648437 5.648323541033544e-08
0.49639999389648437 2.9455262945769314e-08
0.49739999389648437 2.2687606663870003e-07
0.4983999938964844 9.999999939225291e-11
0.4993999938964844 2.924537582179217e-08
0.5003999938964844 9.999999939225291e-11
0.5013999938964844 9.999999939225291e-11
0.5023999938964844 1.3483594137812342e-07
