microns transmission
1.940966984 3.6349490673198036e-06
1.942575076 2.9586870056191492e-06
1.9441831680000001 2.3098607925162532e-06
1.94579126 1.407616276096889e-06
1.947399352 9.971807641721023e-07
1.949007444 6.921891851968004e-07
1.950615536 4.19450472116227e-07
1.952223628 3.880339050315881e-07
1.95383172 3.875345921893924e-07
1.955439812 3.799092646053083e-07
1.957047904 2.296089486230511e-08
1.958655996 6.33002801533385e-08
1.960264088 7.294900699297717e-08
1.961872179 7.305600437397574e-08
1.9634802709999999 7.305600437397574e-08
1.965088363 7.305600437397576e-08
1.9666964550000001 7.305600437397576e-08
1.968304547 7.305600437397576e-08
1.969912639 7.082015048409832e-08
1.971520731 1.9755724220637243e-08
1.973128823 1.0106997380998564e-08
1.974736915 1e-08
1.976345007 1e-08
1.977953099 1e-08
1.979561191 1e-08
1.981169283 1e-08
1.982777375 1e-08
1.984385467 1e-08
1.985993559 1e-08
1.9876016509999999 1e-08
1.989209743 1e-08
1.990817835 1e-08
1.992425927 1e-08
1.9940340189999999 1e-08
1.99564211 1e-08
1.997250202 1e-08
1.998858294 1e-08
2.0004663860000003 1e-08
2.002074478 1e-08
2.00368257 1e-08
2.005290662 1e-08
2.006898754 1e-08
2.008506846 1e-08
2.010114938 1e-08
2.01172303 1.1222374110164853e-08
2.013331122 3.779315169971608e-08
2.014939214 5.9487707710391014e-08
2.016547306 6.04259520113728e-08
2.018155398 6.042595201137282e-08
2.01976349 6.042595201137282e-08
2.021371582 6.042595201137282e-08
2.022979674 6.042595201137282e-08
2.0245877660000002 5.920357790120797e-08
2.026195858 3.263280031165674e-08
2.027803949 1.4568182117004913e-08
2.029412041 1.3645187178337066e-07
2.031020133 1.7185109600269584e-07
2.032628225 1.7262321280789653e-07
2.034236317 1.765229468809037e-07
2.035844409 3.022256402315005e-07
2.037452501 3.3549515304857136e-07
2.039060593 3.362436898223728e-07
2.040668685 3.326137520063497e-07
2.042276777 2.097918180390022e-07
2.0438848689999998 1.751078211542911e-07
2.045492961 1.78771852938533e-07
2.047101053 1.7740997100219122e-07
2.0487091449999997 5.19828845662347e-08
2.0503172370000002 2.0180279391645452e-08
2.0519253290000004 3.815947588547314e-08
2.053533421 4.862273062872361e-08
2.055141513 4.928429234106408e-08
2.056749605 4.9113835177642856e-08
2.058357697 4.823732555325999e-08
2.059965788 4.8757390292581535e-08
2.06157388 4.8908959917592944e-08
2.0631819719999998 4.744205227511137e-08
2.064790064 2.8714319007482167e-08
2.066398156 1.8251064264231696e-08
2.068006248 1.7589502551891226e-08
2.06961434 1.7044732380698345e-08
2.071222432 1.3485093415638604e-08
2.072830524 1.0427176539651673e-08
2.074438616 1e-08
2.076046708 1e-08
2.0776548 1e-08
2.079262892 1e-08
2.080870984 1e-08
2.0824790760000003 1e-08
2.084087168 1e-08
2.08569526 1e-08
2.0873033519999997 1e-08
2.088911444 1e-08
2.090519536 1e-08
2.092127627 1e-08
2.0937357189999997 1e-08
2.0953438110000002 1e-08
2.0969519030000003 1e-08
2.098559995 1e-08
2.100168087 1e-08
2.101776179 1e-08
2.103384271 1e-08
2.104992363 1e-08
2.1066004549999997 1e-08
2.1082085470000003 1e-08
2.109816639 1e-08
2.111424731 1e-08
2.113032823 1e-08
2.114640915 1e-08
2.116249007 1e-08
2.1178570989999996 1e-08
2.1194651909999997 1e-08
2.1210732830000003 1e-08
2.122681375 1e-08
2.124289466 1e-08
2.125897558 1e-08
2.1275056500000002 1e-08
2.129113742 1e-08
2.130721834 1e-08
2.1323299259999997 1e-08
2.133938018 1e-08
2.1355461100000004 1e-08
2.137154202 1e-08
2.138762294 1e-08
2.140370386 1e-08
2.141978478 1e-08
2.14358657 1e-08
2.1451946619999998 1e-08
2.146802754 1e-08
2.1484108460000004 1e-08
2.150018938 1e-08
2.15162703 1e-08
2.153235122 1e-08
2.154843214 1e-08
2.156451305 1e-08
2.158059397 1e-08
2.159667489 1e-08
2.161275581 1e-08
2.1628836729999996 1e-08
2.164491765 1e-08
2.1660998570000003 1e-08
2.167707949 1e-08
2.169316041 1e-08
2.170924133 1e-08
2.172532225 1e-08
2.174140317 1e-08
