microns transmission
1.3845671689999999 9.076553704002568e-06
1.386175261 8.364573743015552e-06
1.387783353 1.1530520350656931e-05
1.389391445 9.045496105233675e-06
1.390999537 8.380689143036134e-06
1.392607629 8.628770713037431e-06
1.3942157210000001 3.964067243949862e-06
1.395823813 3.429570493636471e-06
1.397431905 1.4981684843289492e-06
1.399039997 5.665025675921073e-07
1.400648089 7.759256601222104e-07
1.402256181 4.553092401359379e-06
1.403864273 5.867056699059278e-06
1.405472365 5.408034054711167e-06
1.407080457 6.306123989064273e-06
1.408688549 1.4899163939669061e-05
1.410296641 2.2140439370215457e-05
1.411904732 1.984636005435365e-05
1.413512824 1.7099321802125823e-05
1.415120916 8.109929490290238e-06
1.4167290080000001 7.936461461368729e-06
1.4183371 6.68401811858447e-06
1.419945192 9.12347676039111e-06
1.421553284 6.491534339825374e-06
1.423161376 7.172814205018472e-06
1.424769468 7.771993605403736e-06
1.42637756 4.917291465774849e-07
1.427985652 1.647138061482663e-06
1.429593744 9.302803189834537e-06
1.431201836 9.40083902962585e-06
1.432809928 3.099586201420501e-06
1.43441802 1.7961472364968148e-07
1.436026112 2.7902429005659838e-06
1.4376342039999999 7.768745260459533e-06
1.439242296 6.038284518906832e-06
1.440850388 3.6167433331626714e-06
1.44245848 2.2829641554503676e-07
1.444066571 1.7964429352277037e-06
1.445674663 1.2610639427626282e-07
1.447282755 7.916812549892905e-08
1.448890847 1e-08
1.450498939 8.575797236908758e-08
1.452107031 6.57272512951673e-06
1.453715123 5.132396896524883e-06
1.455323215 2.4555973385618325e-07
1.456931307 5.560832784178913e-07
1.458539399 2.2939454670272275e-06
1.4601474909999999 2.3415583877718335e-06
1.461755583 2.716650782191972e-06
1.463363675 1.3642914121337075e-06
1.464971767 2.48513689356087e-07
1.4665798589999999 7.324387432871547e-08
1.4681879510000002 1.3761121415042848e-06
1.469796043 3.7539859557767125e-07
1.471404135 1.4001390142429898e-08
1.473012227 2.625742487359441e-06
1.474620319 1.0912707729116295e-06
1.47622841 1.7910548493439901e-06
1.4778365020000002 1.1202736639216585e-08
1.479444594 1e-08
1.481052686 1e-08
1.4826607779999998 1e-08
1.4842688700000002 2.1651873624467235e-08
1.485876962 5.687772280995161e-07
1.487485054 1.98950700406573e-06
1.4890931459999999 8.52688107387754e-08
1.4907012380000002 8.738157019671242e-07
1.49230933 3.397994273823589e-06
1.493917422 1.4308494956339012e-06
1.495525514 7.154892072911759e-07
1.497133606 1.3329158891643192e-06
1.4987416980000001 1.3293857538343214e-07
1.50034979 1e-08
1.501957882 1.1546116691501006e-08
1.503565974 2.6676921960491795e-06
1.5051740660000001 5.0884686642898745e-06
1.506782158 1.8117922508000385e-05
1.508390249 3.470922890331735e-05
1.509998341 3.345967005709525e-05
1.5116064329999999 1.919570775294586e-05
1.5132145250000002 7.157181875654964e-06
1.514822617 6.385149616166174e-06
1.516430709 9.568490627290443e-06
1.5180388009999999 5.808367028939898e-06
1.519646893 4.75989574480603e-06
1.5212549850000001 4.572654451201688e-06
1.522863077 1.6603705463466397e-06
1.524471169 2.1239732373839775e-06
1.526079261 5.256629686995971e-08
1.5276873530000001 5.476975174071412e-07
1.529295445 5.892181117527314e-06
1.530903537 5.4776160853707926e-06
1.532511629 1.7784313255763227e-06
1.534119721 2.850443608858811e-06
1.535727813 3.620384969056408e-07
1.537335905 2.7236916057532696e-06
1.538943997 8.905827787193689e-06
1.5405520879999999 7.767119973558754e-06
1.54216018 9.908783420554175e-06
1.543768272 1.0389980448371494e-05
1.545376364 1.022023056536907e-05
1.546984456 1.067492212226737e-05
1.548592548 7.03405683574717e-06
1.5502006400000001 5.47883524046071e-06
1.551808732 3.7527695156371076e-06
1.553416824 4.428257100422998e-06
1.555024916 7.130651935520394e-06
1.556633008 1.085282088436255e-05
1.5582411 1.4392653739501905e-05
1.559849192 1.6553417498792918e-05
1.561457284 1.3593553853781368e-05
1.563065376 1.1709609476201904e-05
1.564673468 1.1053209420675189e-05
1.56628156 9.251873048419698e-06
1.567889652 5.961067066818467e-06
1.569497744 1.6059649597840849e-06
1.5711058359999999 1.3242865574575261e-06
1.5727139270000001 2.3339325899806708e-06
1.574322019 2.6744334935302397e-06
1.575930111 4.276292501598961e-06
1.577538203 3.40182660048099e-07
1.579146295 3.214487444563181e-08
1.580754387 6.481786889799417e-06
1.582362479 3.87110885862611e-06
1.583970571 3.997197637849229e-06
1.585578663 4.225831689022636e-06
1.5871867549999998 3.1036598535072334e-06
1.588794847 5.807614538494613e-06
1.590402939 7.02616180141376e-06
1.592011031 7.960369226209882e-06
1.5936191229999999 9.168602387245941e-06
1.595227215 6.327928445754534e-06
1.596835307 4.381880467740064e-06
1.598443399 4.675263552557292e-06
1.6000514909999999 6.646965434534516e-06
1.6016595830000002 2.814409371104716e-06
1.6032676750000001 8.259634039770612e-08
1.604875767 7.22404859080721e-08
1.606483858 3.714413597864384e-06
1.60809195 5.994281727877582e-06
1.6097000419999998 1.0435788021523372e-06
1.6113081340000002 2.754656742724102e-06
1.612916226 3.413279242153201e-06
1.614524318 5.687901713225231e-07
1.6161324099999999 1.0109604918831702e-08
1.6177405020000002 1.0255692818241853e-06
1.619348594 3.4350615997226454e-06
1.620956686 5.502071933825229e-06
1.6225647779999999 4.8194348057462935e-06
1.6241728700000002 1.7635386891281849e-06
1.625780962 1.8848745124042139e-06
1.627389054 1.988264902011846e-06
1.628997146 3.020954671346025e-06
1.630605238 2.9705676581726086e-06
1.6322133300000001 1.5793552826205728e-06
1.633821422 8.546888836890487e-08
1.635429514 5.125108323462396e-07
1.637037606 4.0535887222676883e-07
1.6386456969999998 1e-08
1.6402537890000002 1e-08
1.641861881 1e-08
1.643469973 3.525446733552271e-08
1.6450780649999999 1.9751998737567075e-06
1.646686157 4.047033015090764e-06
1.648294249 3.1587497245537536e-06
1.649902341 3.6070561278042056e-06
1.6515104329999999 1.5334219523763308e-06
1.653118525 1.2847187438464899e-08
1.6547266170000001 9.819735710577736e-07
1.656334709 9.580278448821471e-06
1.657942801 1.767072163870848e-05
1.659550893 2.7368881929726185e-05
1.661158985 3.26850260242439e-05
1.662767077 3.7387019647597724e-05
1.664375169 3.947742903193237e-05
1.665983261 3.7376925156084184e-05
1.667591353 3.347000680005999e-05
1.669199445 3.6794776560338556e-05
1.670807536 4.273879090580237e-05
1.672415628 4.409415654637554e-05
1.6740237199999999 4.563469011833138e-05
1.675631812 4.7142500937684864e-05
1.6772399040000001 4.92126105578227e-05
1.678847996 5.39077458165313e-05
1.680456088 6.177372753847324e-05
1.68206418 7.01898511644594e-05
1.683672272 7.900328445530714e-05
1.685280364 8.817204204367999e-05
1.686888456 9.58166867445394e-05
1.688496548 0.00010880330937974069
1.69010464 0.00012890993046349588
1.691712732 0.0001498379715579792
1.693320824 0.00017823811248929064
1.694928916 0.00021350482289446787
1.696537008 0.0002556975267752125
1.6981450999999999 0.00029831393871980005
1.699753192 0.00034822028240176045
1.701361284 0.0004051764239383738
1.702969375 0.00046660027167892465
1.704577467 0.0005373999552542582
1.706185559 0.0006131355185080462
1.707793651 0.0006909286445747709
1.709401743 0.0007626453398194225
1.711009835 0.0008251917843340432
1.712617927 0.000877953314992105
1.714226019 0.0009162083888275174
1.715834111 0.0009502849507021143
1.717442203 0.0009822467468636213
1.719050295 0.0010118756334373488
1.7206583869999998 0.0010279272166806045
1.722266479 0.001035203941959638
1.723874571 0.0010377755743769263
1.725482663 0.0010455512935992678
1.7270907549999999 0.0010498232270040164
1.728698847 0.0010521776441707797
1.730306939 0.001052898959529546
1.731915031 0.0010536319183958875
1.7335231229999999 0.0010504635494915885
1.735131214 0.0010425797187509189
1.736739306 0.0010369187652737877
1.7383473980000002 0.0010283968538642445
1.73995549 0.0010173197305536053
1.741563582 0.0010032073878460813
1.7431716739999998 0.0009892180079286805
1.7447797660000002 0.0009763374765601823
1.746387858 0.0009673891918672648
1.74799595 0.0009565567718138086
1.7496040419999999 0.000943937947290815
1.7512121340000002 0.0009282527521142026
1.752820226 0.000917056123594983
1.754428318 0.0009080973282814205
1.7560364099999999 0.000901399486582823
1.757644502 0.0009094913946615163
1.7592525940000001 0.0009215397243578348
1.760860686 0.0009358501813057928
1.762468778 0.0009389317722220107
1.76407687 0.0009386388070278518
1.7656849620000001 0.0009354947237936466
1.7672930530000002 0.0009365115223145102
1.768901145 0.0009382803042632406
1.770509237 0.0009404479042437934
1.7721173289999999 0.000939392951487522
1.7737254210000002 0.0009370786958417432
1.775333513 0.000933372872968869
1.776941605 0.0009244484734025906
1.7785496969999999 0.0009168580177078034
1.780157789 0.0009127138883868946
1.781765881 0.0009082769424669572
1.783373973 0.0009029830543363875
1.784982065 0.00089599107787106
1.786590157 0.0008889650160491442
1.7881982490000001 0.0008813247642922828
1.789806341 0.0008719509795476883
1.791414433 0.0008645303846164699
1.793022525 0.0008578820098989519
1.794630617 0.0008513145335858624
1.796238709 0.0008479563084467938
1.797846801 0.0008460174302171741
1.799454893 0.0008410135410331565
1.8010629839999999 0.0008358713907867362
1.802671076 0.0008306224071483335
1.804279168 0.0008277131158979597
1.80588726 0.0008243394069394759
1.8074953519999999 0.0008203029013643264
1.809103444 0.000817163950426062
1.8107115360000001 0.0008136314071027697
1.812319628 0.0008087853172081837
1.81392772 0.0008061661087317894
1.815535812 0.0008042796491263189
1.817143904 0.0008014500858838492
1.818751996 0.0007984320449490137
1.820360088 0.0007952740884495934
1.82196818 0.0007895988579246881
1.823576272 0.0007835366124219811
1.825184364 0.0007769553818026182
1.826792456 0.0007716016883687769
1.828400548 0.0007660367601413275
1.83000864 0.0007577516254001245
1.8316167319999999 0.0007500532408689702
1.8332248230000001 0.0007428061815373878
1.834832915 0.000731717683717672
1.836441007 0.0007194288094071088
1.838049099 0.000705096388527873
1.839657191 0.0006908072329140848
1.841265283 0.0006773838567836017
1.842873375 0.00066983737994854
1.844481467 0.0006633549253132926
1.846089559 0.0006580337293673551
1.847697651 0.0006526279717415625
1.849305743 0.0006471348767232325
1.850913835 0.0006412558901519823
1.852521927 0.0006333874386283897
1.8541300189999999 0.0006240361662175378
1.855738111 0.0006211523504647392
1.857346203 0.0006183455294009918
1.858954295 0.0006139091521437784
1.8605623869999999 0.000608658407351139
1.862170479 0.000602929184776185
1.863778571 0.000598408482469078
1.865386662 0.0005938707206912397
1.866994754 0.0005890107116357749
1.868602846 0.0005840193841119537
1.870210938 0.0005789643150565578
1.8718190300000002 0.0005729999159950157
1.873427122 0.0005685453562514736
1.875035214 0.0005686720056657616
1.8766433059999998 0.0005681695937155412
1.8782513980000002 0.0005671800184013391
1.87985949 0.0005683798182795616
1.881467582 0.0005696908236640616
1.8830756739999999 0.0005700274414016492
1.8846837660000002 0.0005723825237207366
1.886291858 0.0005769740671397942
1.88789995 0.0005861765899115323
1.8895080419999999 0.0005966995758822266
1.891116134 0.0006042257200324364
1.8927242260000001 0.0006130731054974469
1.894332318 0.0006244166121803803
1.89594041 0.0006314420448854537
1.897548501 0.0006358320757971798
1.8991565929999998 0.0006342957122058246
1.9007646850000002 0.0006301790888918247
1.902372777 0.0006167932476902461
1.903980869 0.0005984767518551641
1.9055889609999999 0.000574204063113613
1.9071970530000002 0.0005441713269523165
1.908805145 0.0005129780753791256
1.910413237 0.00047134745393762533
1.9120213289999999 0.0004314901726847506
1.913629421 0.00039111481965296195
1.9152375130000001 0.00035143165220393076
1.916845605 0.0003123011135951287
1.918453697 0.0002770595878085737
1.920061789 0.00024564558261878347
1.9216698810000001 0.00021523725296369647
1.923277973 0.00018816146658356934
1.924886065 0.00016308858144270408
1.926494157 0.00014220248402561984
1.928102249 0.00012538653680285576
1.9297103400000002 0.0001088854510582611
1.931318432 9.356747773727024e-05
1.932926524 7.903615338844209e-05
1.9345346159999999 6.653881533882195e-05
1.936142708 5.282727507672824e-05
1.9377508 4.2839426324066166e-05
1.939358892 3.72852372522412e-05
1.940966984 3.350675288449949e-05
1.942575076 3.157552919153544e-05
1.9441831680000001 2.9161425419822522e-05
1.94579126 2.6556058042356956e-05
1.947399352 1.8345336664828002e-05
1.949007444 1.2399438202333341e-05
1.950615536 7.801129144763687e-06
1.952223628 6.301830064662605e-06
1.95383172 7.861020658331514e-06
1.955439812 1.088849822993566e-05
1.957047904 1.0447925711912995e-05
1.958655996 9.967535976348298e-06
1.960264088 9.72184796708493e-06
1.961872179 9.595756106740802e-06
1.9634802709999999 9.942730834933418e-06
1.965088363 1.1496075204991153e-05
1.9666964550000001 1.3678005313590019e-05
1.968304547 1.0303373349546589e-05
